시군구,단지명,전용면적(㎡),거래금액(만),건축연도
부산광역시 강서구 대저1동,우창더뷰,28000.0,68.7078,2019.0
부산광역시 강서구 대저1동,우창더뷰,26000.0,54.5245,2019.0
부산광역시 강서구 명지동,명지국제신도시호반베르디움2차,46400.0,84.8015,2017.0
부산광역시 강서구 명지동,명지더웨스턴,39800.0,74.8,2018.0
부산광역시 강서구 지사동,지사과학삼정그린코아,18000.0,66.302,2017.0
부산광역시 강서구 지사동,지사과학삼정그린코아,17850.0,66.302,2017.0
부산광역시 강서구 지사동,지사과학삼정그린코아,16500.0,59.9561,2017.0
부산광역시 금정구 구서동,산들파르테2차,21400.0,48.5602,2018.0
부산광역시 금정구 구서동,태성캐슬,30000.0,67.16,2018.0
부산광역시 금정구 부곡동,퀸즈더블유장전역,23900.0,49.1206,2017.0
부산광역시 금정구 부곡동,퀸즈더블유장전역,22800.0,49.1598,2017.0
부산광역시 금정구 서동,우일아내트,23000.0,49.734,2017.0
부산광역시 금정구 장전동,드림아트온,20500.0,46.5371,2017.0
부산광역시 금정구 장전동,장전동SJ타워,18000.0,41.9829,2017.0
부산광역시 기장군 기장읍 교리,경보이리스힐아파트,24500.0,69.3133,2017.0
부산광역시 기장군 기장읍 대라리,에코하임기장,16700.0,49.7243,2017.0
부산광역시 기장군 일광읍 삼성리,e편한세상일광,47000.0,74.9729,2020.0
부산광역시 기장군 일광읍 삼성리,e편한세상일광,46500.0,74.9729,2020.0
부산광역시 기장군 일광읍 삼성리,e편한세상일광,46000.0,74.9729,2020.0
부산광역시 기장군 일광읍 삼성리,e편한세상일광,45000.0,74.9791,2020.0
부산광역시 기장군 일광읍 삼성리,e편한세상일광,45000.0,74.9791,2020.0
부산광역시 남구 대연동,대연SKVIEWHills(2단지),14000.0,19.8197,2019.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,47720.0,49.31,2018.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,31825.0,39.7,2018.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,30640.0,39.7,2018.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,47400.0,49.31,2018.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,46620.0,49.31,2018.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,31520.0,39.7,2018.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,46620.0,49.31,2018.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,31440.0,39.7,2018.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,47375.0,49.31,2018.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,32005.0,39.7,2018.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,50000.0,59.94,2018.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,48500.0,59.94,2018.0
부산광역시 남구 대연동,대연롯데캐슬레전드1단지,31440.0,39.7,2018.0
부산광역시 남구 대연동,정성재아파트,41000.0,58.63,2019.0
부산광역시 남구 문현동,대연양우내안애퍼스트,37000.0,59.9015,2022.0
부산광역시 남구 문현동,문현범양레우스,45000.0,84.9605,2017.0
부산광역시 남구 문현동,베스티움,49700.0,59.9574,2019.0
부산광역시 동구 좌천동,좌천서린엘마르더뷰,27000.0,59.8947,2018.0
부산광역시 동구 초량동,지원더뷰오션1차,39500.0,84.9742,2018.0
부산광역시 동래구 온천동,e편한세상동래아시아드,42000.0,49.9839,2020.0
부산광역시 동래구 온천동,동래삼정그린코아포레스트,49400.0,84.6791,2018.0
부산광역시 동래구 온천동,시티하임3차,27000.0,69.4,2017.0
부산광역시 동래구 온천동,신화하니엘더라임,17800.0,47.7813,2017.0
